name,website,address,city,state,phone,reviews,rating,logo,query:,email
Adult & Teen Challenge of Oklahoma,http://www.okteenchallenge.com/," 909 S Meridian Ave, Oklahoma City, OK 73108",Oklahoma City, Oklahoma,(405) 600-1920,13,4.1,https://lh3.googleusercontent.com/a/AATXAJzNbo2SOKPSXNjdt_c6t5LXo-NsKmuOX4xFjNSN=s40-c-rp-ba2-br100,drug rehab in Oklahoma,
Northeastern Oklahoma Council,http://www.nocacares.org/," 130 Steve Owens Blvd, Miami, OK 74354",Miami, Oklahoma,(918) 542-2845,14,3.4,//lh3.googleusercontent.com/a/AATXAJytnK-qYvfGNBsG0lXDEMJYOKPm7yKx3kmiy9Dq=w32-h32-k-cc,drug rehab in Oklahoma,
Intertribal Substance Abuse,#," 21 S Eight Tribe Trail, Miami, OK 74354",Ottawa County, Oklahoma,(918) 542-5543,1,1.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
A Chance To Change,http://www.achancetochange.org/," 2113 W Britton Rd, The Village, OK 73120",The Village, Oklahoma,(405) 840-9000,11,4.1,https://lh6.googleusercontent.com/-UFvA_wIpWNc/AAAAAAAAAAI/AAAAAAAAAAA/K4Cm8LSMUSg/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Able Recovery,https://ablerecovery.net/," 4901 S Pennsylvania Ave, Oklahoma City, OK 73119",Oklahoma City, Oklahoma,(405) 605-4005,26,4.4,https://lh6.googleusercontent.com/-e-8O9GlZT8s/AAAAAAAAAAI/AAAAAAAAAAA/13wtaMVgxiM/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Justin's Lighthouse Recovery Services,https://justinslighthouse.com/," 5207 N Beverly Dr, Oklahoma City, OK 73105",Oklahoma City, Oklahoma,(405) 248-2124,3,5.0,https://lh3.googleusercontent.com/a-/AOh14GgJqAOYYRR8YJUh67E_skUDmS3D7yiWxeV5lw_THg=s40-c-rp-br100,drug rehab in Oklahoma,
Clay Crossing,http://www.claycrossing.com/," 32018 OK-59, Maud, OK 74854",Pottawatomie County, Oklahoma,(405) 374-1225,21,4.5,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Rogers County Drug Abuse Program,http://www.okdrs.gov/guide/rogers-county-drug-abuse-program," 1010 E Will Rogers Blvd, Claremore, OK 74017",Claremore, Oklahoma,(918) 342-3334,5,2.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Firstep Men's Recovery Program,http://www.okcmetroalliance.com/," 11601 W Stanley Draper Dr, Oklahoma City, OK 73165",Oklahoma City, Oklahoma,(405) 799-7540,22,3.7,https://lh3.googleusercontent.com/-ZE7yT3DVeAQ/AAAAAAAAAAI/AAAAAAAAAAA/sp-V5XPfqqI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Monarch Inc,http://monarchok.com/," 2310 W Broadway St, Muskogee, OK 74401",Muskogee, Oklahoma,(918) 682-7210,12,4.2,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Clay Crossing,http://www.claycrossing.com/," 32018 OK-59, Maud, OK 74854",Pottawatomie County, Oklahoma,(405) 374-1225,21,4.5,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Oklahoma City Comprehensive Treatment Center,https://www.ctcprograms.com/location/oklahoma-city-comprehensive-treatment-center/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand," 1737 Linwood Blvd, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 706-8808,43,4.4,https://lh3.googleusercontent.com/-GxGXbbD4Qks/AAAAAAAAAAI/AAAAAAAAAAA/EbJjh48L1lo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Into Action Sober Living,http://www.intoactionsoberliving.com/," 1414 NW 25th St, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 757-7671,53,4.3,https://lh6.googleusercontent.com/-AFzkevXbhds/AAAAAAAAAAI/AAAAAAAAAAA/PrvQ4am7uao/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Total Life Counseling,http://www.okdrs.gov/guide/total-life-counseling-foundation," 3000 United Founders Blvd #239, Oklahoma City, OK 73112",Oklahoma City, Oklahoma,(405) 840-7040,4,3.5,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Valley Hope of Cushing,https://valleyhope.org/locations/oklahoma/cushing-treatment-center/," 100 S Jones Ave, Cushing, OK 74023",Cushing, Oklahoma,(918) 225-1736,37,4.1,https://lh3.googleusercontent.com/-cjdL_t3Gy7k/AAAAAAAAAAI/AAAAAAAAAAA/fk23w-jCdOU/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
MGA Crisis Intervention,http://mariongatleyassociation.com/our-locations/oklahoma/intervention-drug-rehab-association-720-northwest-50th-street-oklahoma-city-ok-73118/," 720 NW 50th St #205, Oklahoma City, OK 73118",Oklahoma City, Oklahoma,(405) 328-7373,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Catalyst Behavioral Services,http://www.catalystok.org/," 3033 N Walnut Ave, Oklahoma City, OK 73105",Oklahoma City, Oklahoma,(405) 232-9804,22,3.8,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Trc,https://www.trcok.com/," 1215 NW 25th St, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 525-2525,4,4.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Consortium Against Substance,#," 115 E Broadway St, Anadarko, OK 73005",Anadarko, Oklahoma,(405) 247-7313,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Serenity Recovery Solutions,#," 9 N 11th St, Duncan, OK 73533",Duncan, Oklahoma,(580) 475-0148,5,4.6,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Turning Point Sober Living,#," 2425 NE 10th St, Oklahoma City, OK 73117",Oklahoma City, Oklahoma,(405) 424-2547,1,1.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Hefner Comprehensive Treatment Center,https://www.ctcprograms.com/location/hefner-comprehensive-treatment-center/?utm_source=GMB&utm_medium=organic&utm_campaign=listing&utm_term=brand," 948 W Hefner Rd, Oklahoma City, OK 73114",Oklahoma City, Oklahoma,(405) 767-0954,16,4.4,https://lh4.googleusercontent.com/-cSabEGSt_Mo/AAAAAAAAAAI/AAAAAAAAAAA/ECi5D4Obty4/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Eagle Ridge Family Treatment Center,http://www.eagleridgeinstitute.com/," 1916 E Perkins Ave, Guthrie, OK 73044",Guthrie, Oklahoma,(405) 282-8232,5,4.2,https://lh3.googleusercontent.com/a-/AOh14GgU_kKDi469AfS0aaCULwr5EtdI4Cy2_Y7GWekhJY0=s40-c-rp-br100,drug rehab in Oklahoma,
Vizown,http://www.vizown.com/?utm_source=google&utm_medium=local&utm_campaign=gmb," 24962 Okay Rd, Tecumseh, OK 74873",Pink, Oklahoma,(405) 253-2020,11,3.3,https://lh3.googleusercontent.com/-15yiNLl668k/AAAAAAAAAAI/AAAAAAAAAAA/J4W4T87s7Io/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Eagle Ridge Institute,http://www.eagleridgeinstitute.com/," 122 E Oklahoma Ave, Guthrie, OK 73044",Guthrie, Oklahoma,(405) 260-1221,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
George Hawkins Treatment,#," 10320 Airport Rd, Clinton, OK 73601",Clinton, Oklahoma,(580) 331-2370,2,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Alcohol Drug & Assessment Center,http://www.adacabc.com/," 4912 S Western Ave Suite A1, Oklahoma City, OK 73109",Oklahoma City, Oklahoma,(405) 604-3784,27,4.3,https://lh5.googleusercontent.com/-fFYbusqNVXA/AAAAAAAAAAI/AAAAAAAAAAA/gSBhGimfWO4/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Gateway To Prevention & Recovery,https://gatewaytoprevention.org/," 1010 E 45th St, Shawnee, OK 74804",Shawnee, Oklahoma,(405) 273-1170,7,4.1,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
OKC Metro Alliance,http://okcmetroalliance.com/," 1940 Linwood Blvd, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,(405) 232-1864,Not Available,Not Available,https://lh3.googleusercontent.com/-FHmjUrypXGQ/AAAAAAAAAAI/AAAAAAAAAAA/riLCMET61k8/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Sonrise Adult & Teen Challenge,http://www.okteenchallenge.com/sonrise-ranch-mens-18," 19792 Cache Rd NW, Cache, OK 73527",Comanche County, Oklahoma,(580) 429-3940,29,4.8,https://lh3.googleusercontent.com/a/AATXAJxmfOXaPDjVyxd8SQQsA9O6c5PIFg1aAZgs1Ayj=s40-c-rp-br100,drug rehab in Oklahoma,
Be Well Opioid Rehab Oklahoma,https://drug-rehab-alcohol-detox-be-well-oklahoma.business.site/?utm_source=gmb&utm_medium=referral," 116 S 5th St, Chickasha, OK 73018",Chickasha, Oklahoma,(405) 390-7782,1,5.0,https://lh5.googleusercontent.com/-JszEtR1vqa4/AAAAAAAAAAI/AAAAAAAAAAA/Nf0iSrkoh74/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
"Rob's ""Path to Miracles"" Ranch",http://www.robsranch.org/," 501 E Grand Ave, Sayre, OK 73662",Sayre, Oklahoma,(405) 253-3838,15,4.7,https://lh6.googleusercontent.com/-TVpGxSotSW0/AAAAAAAAAAI/AAAAAAAAAAA/kEE1Vv0HWMo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
NADTC,#," Norman, OK 73071",Norman, Oklahoma,Not Available,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Oxford House Linwood Hills,https://www.oxfordhouse.org/," 11412 Greystone Ave, Oklahoma City, OK 73120",Oklahoma City, Oklahoma,(405) 753-5427,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Life Recovery Services,http://www.okliferecovery.org/," 5113 SE 15th St, Del City, OK 73115",Del City, Oklahoma,(405) 600-3252,10,4.2,https://lh3.googleusercontent.com/-NJzA8gE2Kck/AAAAAAAAAAI/AAAAAAAAAAA/lpWcTL_8XNE/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Into Action Sober Living,http://www.intoactionsoberliving.com/," 1301 Shalamar Rd, Edmond, OK 73013",Edmond, Oklahoma,(405) 757-7671,11,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
"Aurora Counseling Services, Inc.",#," 5350 S Western Ave # 562, Oklahoma City, OK 73109",Oklahoma City, Oklahoma,(405) 634-4434,8,3.4,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
The Virtue Center,https://www.thevirtuecenter.org/," 215 W Linn St, Norman, OK 73069",Norman, Oklahoma,(405) 321-0022,23,4.5,https://lh3.googleusercontent.com/-bdZCus0Z1JA/AAAAAAAAAAI/AAAAAAAAAAA/T2u_6GE0xiw/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Pine Bridges Detox,https://pinebridgedrugrehabilitationnormanok.business.site/?utm_source=gmb&utm_medium=referral," 2600 Van Buren St #2636, Norman, OK 73072",Norman, Oklahoma,(405) 928-0633,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Country Road Recovery Center,https://www.countryroadrc.com/," 24962 Okay Rd, Tecumseh, OK 74873",Pink, Oklahoma,(405) 294-1152,7,4.4,https://lh4.googleusercontent.com/-Se8u7P5FvxM/AAAAAAAAAAI/AAAAAAAAAAA/0uk5knKq4Q4/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Monarch Inc,http://monarchok.com/," 2310 W Broadway St, Muskogee, OK 74401",Muskogee, Oklahoma,(918) 682-7210,12,4.2,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
"OUT (Outcasts Under Transformation) | Sober Living, Substance Abuse Ministry",http://outcastundertransformation.com/," 805 Grand Ave, Ardmore, OK 73401",Ardmore, Oklahoma,(580) 504-9566,3,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Southern Oklahoma Treatment,http://treatmentservices.org/," 5912 73449, 5912 US-70, Durant, OK 74701",Bryan County, Oklahoma,(580) 745-9083,9,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
The Oaks Rehabilitative Services Center,http://www.kibois.org/oaks_about.html," 628 E Creek Ave, McAlester, OK 74501",McAlester, Oklahoma,(918) 421-3500,18,3.9,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Tri City Substance Abuse Center,#," 408 S Broadway Ave, Ada, OK 74820",Ada, Oklahoma,(580) 332-8773,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Eastman Oxford House,#," 4601 Eastman Dr, Oklahoma City, OK 73122",Oklahoma City, Oklahoma,(405) 603-2598,3,4.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
OneLife Treatment,http://www.onelifetreatment.com/," 4401 N Classen Blvd, Oklahoma City, OK 73118",Oklahoma City, Oklahoma,(405) 404-0025,2,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Gateway To Prevention & Recovery,http://www.gatewaytoprevention.org/," 710 Manvel Ave, Chandler, OK 74834",Chandler, Oklahoma,(405) 240-5333,2,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Gateway to Prevention,http://gatewaytoprevention.org/," 801 S Main St #5, Stillwater, OK 74075",Stillwater, Oklahoma,(405) 372-0198,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Monarch,http://www.monarchok.org/," 501 Fredonia St, Muskogee, OK 74403",Muskogee, Oklahoma,(918) 683-0124,6,4.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Addiction Rehab & Recovery Oklahoma City Helpline,https://www.dicksonbaptistchurch.org/contact," 9910 NE 23rd St, Oklahoma City, OK 73141",Midwest City, Oklahoma,(405) 260-8715,2,5.0,https://lh4.googleusercontent.com/-ldCRNPr5754/AAAAAAAAAAI/AAAAAAAAAAA/zdSvv-gptIo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
NorthCare Family Treatment Center,http://www.northcare.com/," 7127 N County Line Rd, Piedmont, OK 73078",Canadian County, Oklahoma,(405) 858-1749,Not Available,Not Available,https://lh6.googleusercontent.com/-MF84AbNAQwA/AAAAAAAAAAI/AAAAAAAAAAA/hXI4ZWtdYkM/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Hope Addiction Recovery,#," 2415 N Glenwood Dr, Stillwater, OK 74075",Stillwater, Oklahoma,(405) 233-8330,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Addiction Care Services,#," 3334 W Main St #255, Norman, OK 73072",Norman, Oklahoma,(405) 233-4366,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Tri-City Substance Abuse Center,#," 214 E Oak Ave, Seminole, OK 74868",Seminole, Oklahoma,(405) 382-1112,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Seven Ponds Treatment & Renewal,https://sevenpondstreatment.com/," 2222 Midway Rd, Bennington, OK 74723",Bryan County, Oklahoma,(580) 847-2500,124,4.8,https://lh3.googleusercontent.com/-zIKYvCKHYu4/AAAAAAAAAAI/AAAAAAAAAAA/K1FuVLcpEns/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Rightway Medical South,http://oktreatment.com/," 1613 SE 66th St, Oklahoma City, OK 73149",Oklahoma City, Oklahoma,(405) 616-3366,35,3.9,https://lh3.googleusercontent.com/-H3vmV8OAKzY/AAAAAAAAAAI/AAAAAAAAAAA/v-E5JYJ6uME/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Oxford House Okc,https://www.oxfordhouse.org/," 11708 N Victoria Dr, Oklahoma City, OK 73120",Oklahoma City, Oklahoma,(405) 607-0036,3,2.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Oxford House Bricktown,https://www.oxfordhouse.org/," 1420 NE 6th St, Oklahoma City, OK 73117",Oklahoma City, Oklahoma,(405) 601-8275,3,3.3,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
St. Anthony Rehabilitation Center,https://www.ssmhealth.com/locations/location-details/st-anthony-rehabilitation-center?utm_id=sys-listings-1&linksource=sys_listing_links-gmb_listing&y_source=1_MjMyNTc0MTAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D," 1000 N Lee Ave, Oklahoma City, OK 73102",Oklahoma City, Oklahoma,(405) 231-8927,3,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Narconon Mcalester,#," 1500 S George Nigh Expy, McAlester, OK 74501",Pittsburg County, Oklahoma,(918) 426-4338,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Oxford House Dittmer,#," 2901 N Ditmer Rd, Oklahoma City, OK 73127",Oklahoma City, Oklahoma,(405) 601-0814,1,1.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
"Compass Clinic, Oklahoma City",http://www.compassclinic.net/," 701 NE 36th St, Oklahoma City, OK 73105",Oklahoma City, Oklahoma,(405) 445-0869,60,4.5,https://lh3.googleusercontent.com/-KpUVIPsQZJ0/AAAAAAAAAAI/AAAAAAAAAAA/jT-LOvi8vSI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Ada Area Chemical Dependency,#," 704 N Oak Ave, Ada, OK 74820",Ada, Oklahoma,(580) 332-3001,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Drug Rehab Enid,http://www.catalystok.org/," 1820 S Van Buren St, Enid, OK 73703",Enid, Oklahoma,(760) 353-1350,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Chickasaw Nation Organization,#," 3115 E Arlington St, Ada, OK 74820",Ada, Oklahoma,(580) 332-6345,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Northeastern Oklahoma Council,http://www.nocacares.org/," 130 Steve Owens Blvd, Miami, OK 74354",Miami, Oklahoma,(918) 542-2845,14,3.4,//lh3.googleusercontent.com/a/AATXAJytnK-qYvfGNBsG0lXDEMJYOKPm7yKx3kmiy9Dq=w32-h32-k-cc,drug rehab in Oklahoma,
Livewell Rehab Center Oklahoma,https://drug-rehab-alcohol-detox-livewell-oklahoma.business.site/?utm_source=gmb&utm_medium=referral," 3085 US-81, Duncan, OK 73533",Duncan, Oklahoma,(580) 268-7990,3,5.0,https://lh3.googleusercontent.com/-Ahr-hVWRxJY/AAAAAAAAAAI/AAAAAAAAAAA/JmLynnpbVvg/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
12&12,http://12and12.org/," 6333 E Skelly Dr, Tulsa, OK 74135",Tulsa, Oklahoma,(918) 664-4224,14,3.8,https://lh4.googleusercontent.com/-YreeAqscg00/AAAAAAAAAAI/AAAAAAAAAAA/8Sd8ENlaKQI/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Freedom House Adult & Teen Challenge,http://www.okteenchallenge.com/freedom-house-women-18," 237 W North Ave, Checotah, OK 74426",Checotah, Oklahoma,(918) 473-3462,60,4.2,https://lh3.googleusercontent.com/a-/AOh14GjgAxRJcMc2KVQz59bg9qkGdCseTwb_rwZikdMzrw=s40-c-rp-br100,drug rehab in Oklahoma,
Roadback,http://www.roadbacklawton.org/," 1202 SW A Ave, Lawton, OK 73501",Comanche County, Oklahoma,(580) 357-8114,4,3.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Osage Nation PRT,https://www.osagenation-nsn.gov/what-we-do/prt-department," 606 Kihekah Ave, Pawhuska, OK 74056",Pawhuska, Oklahoma,(918) 287-5413,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Palmer,http://www.palmer-tulsa.org/," 5319 S Lewis Ave # 219, Tulsa, OK 74105",Tulsa, Oklahoma,(918) 832-7763,8,3.5,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Caair Inc,http://caair.org/," 40152 S 700 Rd, Jay, OK 74346",Delaware County, Oklahoma,(918) 529-8600,60,3.3,https://lh3.googleusercontent.com/a/AATXAJzALnVKHEdnD5IymYVZZzewXvvB0TeQd_V4Sd1o=s40-c-rp-br100,drug rehab in Oklahoma,
House of Hope Inc,http://www.houseofhopegrove.com/," 32300 S 625 Rd, Grove, OK 74344",Delaware County, Oklahoma,(918) 786-2930,3,3.7,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Cherokee Nation Jack Brown Center,https://health.cherokee.org/health-center-and-hospital-locations/inpatient-care/," 1429 Jack Brown Ln, Tahlequah, OK 74464",Tahlequah, Oklahoma,(918) 453-5500,4,4.8,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Renal Treatment Center Ok City,#," 4140 W Memorial Rd, Oklahoma City, OK 73120",Oklahoma City, Oklahoma,Not Available,Not Available,Not Available,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
"Southern Oklahoma Treatment Services, Inc",http://www.treatmentservices.org/," 905 Holiday Dr, Ardmore, OK 73401",Ardmore, Oklahoma,(405) 942-7650,3,4.7,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Valliant House,http://vallianthouse.net/," 300 Dalton Ave, Valliant, OK 74764",Valliant, Oklahoma,(580) 203-3600,20,4.3,https://lh3.googleusercontent.com/a/AATXAJwB_NdXC0sIa38TLrOKsSCmz0UXmr6Q46eiR2tD=s40-c-rp-br100,drug rehab in Oklahoma,
Galloway Detox,http://gallowayrecovery.com/locations/oklahoma/tulsa/," 1265 S Utica Ave #202, Tulsa, OK 74104",Tulsa, Oklahoma,(539) 302-5418,1,5.0,https://lh4.googleusercontent.com/-Jjb9-nA8pD8/AAAAAAAAAAI/AAAAAAAAAAA/ib8vTlLLlbo/s44-p-k-no-ns-nd/photo.jpg,drug rehab in Oklahoma,
Jesus House,#," 1335 W Sheridan Ave, Oklahoma City, OK 73106",Oklahoma City, Oklahoma,Not Available,43,3.9,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
House of Hope Inc,http://houseofhopegrove.com/," 4602 US-59, Grove, OK 74344",Grove, Oklahoma,(918) 787-2242,4,2.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
Oklahoma Families First Inc,https://www.offibhs.org/," 118 E Main St, Holdenville, OK 74848",Holdenville, Oklahoma,(405) 379-5256,1,5.0,//www.gstatic.com/ui/v1/activityindicator/loading_24.gif,drug rehab in Oklahoma,
